,WaitTime
0,5
1,5
2,10
3,10
4,10
5,10
6,10
7,10
8,10
9,10
10,10
11,10
12,10
13,10
14,10
15,10
16,10
17,10
18,10
19,10
20,10
21,10
22,10
23,10
24,10
25,10
26,10
27,10
28,10
29,10
30,10
31,10
32,15
33,15
34,15
35,15
36,15
37,20
38,20
39,20
40,25
41,25
42,25
43,30
44,25
45,20
46,15
47,15
48,15
49,15
50,15
51,15
52,15
53,15
54,20
55,25
56,30
57,30
58,30
59,30
60,30
61,30
62,30
63,30
64,20
65,20
66,20
67,15
68,15
69,20
70,20
71,20
72,20
73,25
74,30
75,35
76,40
77,40
78,40
79,35
80,35
81,35
82,20
83,20
84,25
85,25
86,25
87,30
88,25
89,25
90,20
91,20
92,15
93,15
94,15
95,20
96,25
97,25
98,30
99,30
100,25
